EquipId, EquipType, Date, Time, Duration, Status, Code, Category, Reason, Comments , Component, WO, Action
T201, Lieb T282B,03-Jan-12,8:03:20,0:32:29, Down,317, Main Sched. Maint., WASHING EOUIPMENT, WATING WASHPAD,7000,781915, WAITING WASHPAD
T201, Lieb T282B,03-Jan-12,8:35:49,0:25:40, Down,317, Main Sched. Maint., WASHING EOUIPMENT, SERVICE 1000 HRS,7000,781915, WASHING UNIT
T201, Lieb T282B,03-Jan-12,9:01:29,5:48:31, Down,301, Main Sched. Maint., SERVICE OVERHAUL, SERVICE 1000 HRS,9000,781915, SERVICE 
T201, Lieb T282B,03-Jan-12,14:50:00,1:48:29, Down,301, Main Sched. Maint., SERVICE OVERHAUL, SERVICE 1000 HRS,9000,781915, SERVICE
T201, Lieb T282B,03-Jan-12,16:38:29,6:11:31, Down,201, Main UnSched. Maint., REPAIR TIME, MANIFOLD SUCTION HYD LEAK,5050, HT403669, REPLACE MANIFOLD & HOSE
T201, Lieb T282B,03-Jan-12,22:50:00,8:00:00, Down,201, Main UnSched. Maint., REPAIR TIME, MANIFOLD SUCTION HYD LEAK,5050, HT403669,  
T201, Lieb T282B,04-Jan-12,6:50:00,8:00:00, Down,201, Main UnSched. Maint., REPAIR TIME, MANIFOLD SUCTION HYD LEAK,5050, HT403669, REHOSE HYD
T201, Lieb T282B,04-Jan-12,14:50:00,2:07:02, Down,201, Main UnSched. Maint., REPAIR TIME, MANIFOLD SUCTION HYD LEAK,5050, HT403669, REPLACE HOSE
T201, Lieb T282B,05-Jan-12,1:01:21,1:09:02, Down,401, Pit  UnSched. Maint., REPAIR TIME, WATER AC IN TO CAB 16479,7320, FB203463, REPOSITION HOSE DRAIN
T201, Lieb T282B,05-Jan-12,13:46:35,0:23:59, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5 6,1000, FB203555, RESET
T201, Lieb T282B,06-Jan-12,16:25:07,0:06:09, Down,401, Pit  UnSched. Maint., REPAIR TIME, PAYLOAD DATA BLANK,7600, FB, RESET PAYLOAD 
T201, Lieb T282B,07-Jan-12,5:28:35,1:21:25, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE (ET),1000, FB203749, WTL
T201, Lieb T282B,07-Jan-12,6:50:00,0:34:40, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5,1000, FB203749, CHECK AIR INDUCTION              
T201, Lieb T282B,07-Jan-12,7:31:07,1:07:25, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5,1000, FB203749, COOLING DOWN                     
T201, Lieb T282B,07-Jan-12,9:40:32,0:04:39, Down,514, Pit  Sched. Maint., BREAKDOWN WAIT LABOUR, OVERDUE FUEL TIME,0,  ,  
T201, Lieb T282B,07-Jan-12,10:59:04,0:57:08, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5,1000, FB203749, REPAIR WIRING SENSOR AIR CHARGE  
T201, Lieb T282B,07-Jan-12,12:38:17,1:28:47, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5,1000, FB203749, CHECK SENSOR AND AIR INDUCTION   
T201, Lieb T282B,08-Jan-12,7:20:11,1:47:14, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5 6,1000, FB203890 , REPOSISI HARNES SPEED SENSOR TURB
T201, Lieb T282B,08-Jan-12,9:51:20,0:25:07, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5 6,1000, FB203890, CHECK INTERCOOLER                
T201, Lieb T282B,08-Jan-12,10:16:27,0:22:02, Down,410, Pit  UnSched. Maint., TRAVEL TO & FROM W/SHOP, ENGINE CODE 5 6,1000, FB203890, SEND TO MAINSHOP                 
T201, Lieb T282B,08-Jan-12,10:38:29,4:11:31, Down,201, Main UnSched. Maint., REPAIR TIME, ENGINE CODE 5 6 ,1000, FB203890, FLUSHING INTERCOOLER             
T201, Lieb T282B,08-Jan-12,14:50:00,8:00:00, Down,201, Main UnSched. Maint., REPAIR TIME, ENGINE CODE 5 6 ,1000, FB203890, FLUSHING INTERCOOLER             
T201, Lieb T282B,08-Jan-12,22:50:00,0:53:02, Down,201, Main UnSched. Maint., REPAIR TIME, ENGINE CODE 5 6 ,1000, FB203890, FLUSHING INTERCOOLAR
T201, Lieb T282B,09-Jan-12,6:19:17,0:30:43, Down,416, Pit  UnSched. Maint., DISPATCH/RADIOS/CAMERA,  ,9999,  ,  
T201, Lieb T282B,09-Jan-12,9:25:41,2:32:52, Down,901, Tyre  Sched. Maint., SERVICE OVERHAUL, SCHD FRONT TYRE,4200,  ,  
T201, Lieb T282B,09-Jan-12,16:43:18,0:31:04, Down,901, Tyre  Sched. Maint., SERVICE OVERHAUL, RTQ TYRE POS 1/2,4200,  ,  
T201, Lieb T282B,09-Jan-12,19:38:47,3:11:13, Down,401, Pit  UnSched. Maint., REPAIR TIME, PRE-LUBE RELAY FAILURE,1450, FB203890, REPLACE RELAY PRE-LUBE           
T201, Lieb T282B,09-Jan-12,22:50:00,0:38:27, Down,401, Pit  UnSched. Maint., REPAIR TIME, PRE-LUBE REALY FAIILURE,1450, FB203890, REPLACE RELAY PRE-LUBE           
T201, Lieb T282B,10-Jan-12,20:34:08,0:53:20, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5 6,1000, FB204213, CHECK AIR INDUCTION BY MTU       
T201, Lieb T282B,11-Jan-12,10:01:42,0:06:36, Down,401, Pit  UnSched. Maint., REPAIR TIME, LIMP MODE (25563),5201, FB204297, RESET
T201, Lieb T282B,12-Jan-12,13:34:16,0:02:33, Down,514, Pit  Sched. Maint., BREAKDOWN WAIT LABOUR, OVERDUE FUEL TIME,0,  ,  
T201, Lieb T282B,12-Jan-12,15:49:39,0:42:03, Down,401, Pit  UnSched. Maint., REPAIR TIME, ENGINE CODE 5 6,1000, FB204500, RESET
